,ID,building_age,heat_type,heat_cost,heat_temp,building_renov,income_detailed,income,heat_type_dummy
648,9209,3,1,0,22,1,5,2,1
649,9211,4,1,300,0,2,4,2,1
650,9213,1,4,1200,21,1,3,1,0
651,9226,1,1,1142,24,3,4,1,1
652,9227,3,1,580,24,1,4,2,1
653,9232,3,4,1200,20,1,5,3,0
654,9239,4,5,100,18,1,5,3,0
655,9246,3,99,550,23,3,3,1,99
656,9247,2,1,1100,21,1,4,2,1
657,9248,2,10,600,23,2,3,1,0
658,9249,7,10,500,0,2,7,4,0
659,9253,5,1,250,0,2,5,2,1
660,9260,3,7,32,0,1,3,1,0
661,9263,3,1,840,20,1,3,1,1
662,9275,4,1,1200,0,2,1,1,1
663,9276,4,1,400,22,1,5,3,1
664,9277,1,1,2355,19,1,4,2,1
665,9281,4,7,600,0,1,5,2,0
666,9282,5,7,600,0,2,13,1,0
667,9283,1,7,840,22,1,3,1,0
668,9285,3,1,900,25,1,4,1,1
669,9286,2,1,1930,21,1,9,5,1
670,9287,4,1,400,20,2,1,1,1
671,9289,3,1,260,19,3,4,2,1
672,9291,2,1,79,0,1,1,1,1
673,9297,4,1,2160,20,1,4,2,1
674,9301,2,1,480,17,3,4,2,1
675,9302,3,1,1000,24,1,1,1,1
676,9305,3,7,950,22,1,4,1,0
677,9306,2,7,900,18,1,4,1,0
678,9308,3,4,600,22,1,4,2,0
679,9309,6,1,550,20,2,4,2,1
680,9310,4,4,300,21,2,4,2,0
681,9311,4,1,800,23,2,4,2,1
682,9314,3,4,2000,18,2,1,2,0
683,9316,1,1,950,19,1,3,1,1
684,9319,3,1,750,19,1,4,1,1
685,9320,3,1,1200,20,1,3,1,1
686,9325,3,10,1200,0,2,13,2,0
687,9328,3,4,1712,18,2,6,3,0
688,9330,2,7,1008,20,1,4,1,0
689,9331,3,1,572,22,1,3,1,1
690,9332,3,1,60,18,3,1,2,1
691,9337,3,4,840,20,2,4,2,0
692,9338,4,1,600,0,1,3,1,1
693,9340,3,4,930,19,1,4,2,0
694,9341,3,4,255,20,1,4,1,0
695,9344,3,1,1100,24,2,3,1,1
696,9345,4,99,740,21,3,2,2,99
697,9352,3,1,372,20,2,4,2,1
698,9360,3,1,500,23,1,4,2,1
699,9361,3,1,600,19,2,1,1,1
700,9363,2,7,900,0,2,3,1,0
701,9364,3,4,3500,20,1,6,3,0
702,9372,3,1,900,23,1,13,2,1
703,9373,3,1,2000,22,1,4,2,1
704,9377,3,1,2400,20,1,3,1,1
705,9379,3,1,840,20,1,3,1,1
706,9382,5,1,2400,21,1,11,5,1
707,9384,4,1,1200,21,2,3,1,1
708,9390,3,4,600,21,1,4,2,0
709,9393,5,7,563,25,2,4,1,0
710,9394,7,7,600,22,2,4,1,0
711,9397,5,1,450,22,3,4,1,1
712,9399,3,4,2300,21,1,9,4,0
713,9403,3,1,720,0,1,4,2,1
714,9404,1,1,2009,20,2,3,1,1
715,9409,3,99,800,0,1,3,1,99
716,9411,5,4,500,23,1,9,4,0
717,9415,3,1,1300,20,2,1,2,1
718,9416,4,99,550,24,2,4,1,99
719,9418,2,1,400,19,1,4,2,1
720,9420,3,4,300,22,3,5,2,0
721,9422,3,99,1200,22,1,5,2,99
722,9425,3,99,900,0,1,3,1,99
723,9427,3,7,800,24,2,6,2,0
724,9428,1,5,2000,22,2,3,2,0
725,9432,7,8,500,18,2,1,1,0
726,9445,4,4,1000,20,1,6,3,0
727,9448,1,1,925,19,2,3,1,1
728,9450,1,8,200,22,1,4,1,0
729,9458,3,7,600,21,2,3,1,0
730,9465,5,5,1200,22,2,9,2,0
731,9466,3,4,240,20,2,4,1,0
732,9468,2,5,400,20,2,3,1,0
733,9469,2,7,500,20,3,4,2,0
734,9470,4,4,750,21,1,5,3,0
735,9473,3,1,1000,19,1,3,1,1
736,9474,5,99,800,0,3,4,1,99
737,9477,2,1,745,21,2,4,2,1
738,9478,1,7,985,20,1,4,2,0
739,9479,4,10,1716,19,2,1,1,0
740,9481,3,7,700,19,1,4,2,0
741,9484,3,1,200,20,1,6,3,1
742,9494,4,5,1500,20,2,4,2,0
743,9499,3,5,2400,21,2,4,2,0
744,9511,5,1,632,22,2,4,2,1
745,9516,5,1,250,20,1,4,2,1
746,9521,3,99,583,15,2,1,2,99
747,9524,6,7,500,20,1,5,3,0
748,9530,5,1,1000,22,3,6,4,1
749,9536,3,4,1500,0,3,7,3,0
750,9543,3,4,506,18,1,4,2,0
751,9545,1,1,300,20,2,1,1,1
752,9549,4,7,300,21,2,4,2,0
753,9557,4,4,500,20,2,5,3,0
754,9572,5,1,1400,25,2,13,2,1
755,9585,4,8,1000,21,2,4,2,0
756,9586,5,1,1400,21,2,1,2,1
757,9587,3,7,300,0,2,3,1,0
758,9594,3,4,400,20,1,3,1,0
759,9597,3,1,250,17,2,4,1,1
760,9608,6,7,950,17,2,4,2,0
761,9612,4,7,1000,20,3,1,1,0
762,9616,3,1,250,18,2,4,2,1
763,9622,3,1,1300,20,1,6,3,1
764,9629,3,7,840,21,3,4,1,0
765,9762,5,4,3000,0,3,13,1,0
766,9792,8,1,1200,20,2,4,1,1
767,9806,3,7,300,10,3,13,1,0
768,9809,2,1,460,16,1,1,1,1
769,9811,3,7,450,21,1,4,1,0
770,9862,3,1,1400,21,1,3,1,1
771,9884,3,1,700,20,2,3,1,1
772,9943,3,7,1236,20,2,3,1,0
773,9948,4,4,600,20,2,3,1,0
774,10019,2,4,3600,21,2,4,2,0
775,10035,2,4,2200,20,1,4,2,0
776,10060,3,1,300,20,1,4,2,1
777,10095,4,1,1000,20,2,1,1,1
778,10107,4,4,1300,21,1,1,1,0
779,10113,3,4,1000,21,1,4,2,0
780,10179,4,4,150,0,3,1,1,0
781,10188,3,1,820,20,2,5,2,1
782,10199,1,1,1000,21,1,5,2,1
783,10212,3,4,1400,21,1,6,3,0
784,10229,7,10,800,24,2,8,4,0
785,10235,3,1,2000,20,1,3,1,1
786,10252,2,4,1200,24,1,4,1,0
787,10263,3,8,800,21,2,2,2,0
788,10276,3,7,1000,24,3,7,3,0
789,10286,4,1,1000,21,3,1,3,1
790,10304,6,1,600,18,2,3,1,1
791,10319,3,7,320,22,3,4,1,0
792,10321,3,1,760,20,1,2,1,1
793,10334,4,1,0,21,2,3,1,1
794,10335,4,9,500,0,3,13,1,0
795,10346,3,7,600,21,1,5,3,0
796,10349,4,4,900,22,3,1,2,0
